city,code,air_name,air_pinyin
北京,PEK,北京首都国际机场,BEIJING
上海虹桥,SHA,上海虹桥机场,SHANGHAIHONGQIAO
上海浦东,PVG,上海浦东机场,SHANGHAIPUDONG
广州,CAN,广州白云机场,GUANGZHOU
深圳,SZX,深圳宝安国际机场,SHENZHEN
成都,CTU,成都双流机场,CHENGDU
海口,HAK,海口美兰机场,HAIKOU
南京,NKG,南京禄口机场,NANJING
重庆,CKG,重庆江北机场,CHONGQING
西安,XIY,西安咸阳机场,XIAN
长沙,CSX,长沙黄花机场,CHANGSHA
杭州,HGH,杭州萧山机场,HANGZHOU
哈尔滨,HRB,哈尔滨太平机场,HARBIN
三亚,SYX,三亚凤凰机场,SANYA
昆明,KMG,昆明巫家坝机场,KUNMING
厦门,XMN,厦门高崎机场,XIAMEN
大连,DLC,大连周水子机场,DALIAN
武汉,WUH,武汉天河机场,WUHAN
青岛,TAO,青岛流亭机场,QINGDAO
乌鲁木齐,URC,乌鲁木齐地窝铺机场,URUMQI
济南,TNA,济南遥墙机场,JINAN
南宁,NNG,南宁吴圩机场,NANNING
天津,TSN,天津滨海机场,TIANJIN
沈阳,SHE,沈阳桃仙机场,SHENYANG
贵阳,KWE,贵阳龙洞堡机场,GUIYANG
桂林,KWL,桂林两江机场,GUILIN
温州,WNZ,温州永强机场,WENZHOU
福州,FOC,福州长乐机场,FUZHOU
太原,TYN,太原武宿机场,TAIYUAN
宁波,NGB,宁波栎社机场,NINGBO
南昌,KHN,南昌昌北机场,NANCHANG
长春,CGQ,长春龙嘉机场,CHANGCHUN
郑州,CGO,郑州新郑机场,ZHENGZHOU
兰州,LHW,兰州中川机场,LANZHOU
合肥,HFE,合肥骆岗机场,HEFEI
香港,HKG,香港国际机场(赤腊角),HONGKONG
珠海,ZUH,珠海三灶机场,ZHUHAI
烟台,YNT,烟台莱山机场,YANTAI
石家庄,SJW,石家庄正定机场,SHIJIAZHUANG
银川,INC,银川河东机场,YINCHUANG
汕头,SWA,汕头外砂机场,SHANTOU
呼和浩特,HET,呼和浩特白塔机场,HOHHOT
拉萨,LXA,拉萨贡嘎机场,LHASA
延吉,YNJ,延吉朝阳川机场,YANJI
东莞,,,DONGWAN
宜昌,YIH,宜昌三峡机场,YICHANG
丽江,LJG,丽江三义机场,LIJIANG
绵阳,MIG,绵阳莱坝机场,MIANYANG
西宁,XNN,西宁曹家堡机场,XINING
武夷山,WUS,武夷山机场,WUYISHAN
常州,CZX,常州奔牛机场,CHANGZHOU
苏州,SZV,,SUZHOU
湛江,ZHA,湛江机场,ZHANJIANG
张家界,DYG,张家界大庸荷花机场,ZHANGJIAJIE
黄山,TXN,黄山屯溪机场,HUANGSHAN
佳木斯,JMU,佳木斯机场,JIAMUSI
锦州,JNZ,锦州小岭子机场,JINZHOU
包头,BAV,包头二里半机场,BAOTOU
北海,BHY,北海福城机场,BEIHAI
南通,NTG,南通兴东机场,NANTONG
义乌,YIW,义乌机场,YIWU
汕尾,,,SHANWEI
威海,WEH,威海文登大水泊机场,WEIHAI
扬州,,,YANGZHOU
南充,NAO,南充高坪机场,NANCHONG
常德,CGD,常德桃花源机场,CHANGDE
安顺,AVA,安顺黄果树机场,ANSHUN
徐州,XUZ,徐州观音机场,XUZHOU
连云港,LYG,连云港白塔埠机场,LIANYUNGANG
牡丹江,MDG,牡丹江海浪机场,MUDANJIANG
盐城,YNZ,江苏盐城南洋机场,YANCHENG
敦煌,DNH,敦煌机场,DUNHUANG
蚌埠,BFU,,BENGBU
恩施,ENH,恩施机场,ENSHI
襄樊,XFN,襄樊刘集机场,XIANGFAN
新加坡,SIN,樟宜机场,SINGAPORE
宜宾,YBP,宜宾宜宾高坪机场,YIBIN
丹东,DDG,丹东浪头机场,DANDONG
晋江,JJN,泉州晋江机场,JINJIANG
齐齐哈尔,NDG,齐齐哈尔三家子机场,QIQIHAR
安庆,AQG,安庆天柱山机场,ANQING
保山,BSD,保山云瑞机场,BAOSHAN
洛阳,LYA,洛阳机场,LUOYANG
常熟,,,CHANGSHU
泸州,LZO,泸州机场,LUZHOU
库尔勒,KRL,库尔勒机场,KORLA
柳州,LZH,柳州白莲机场,LIUZHOU
赤峰,CIF,赤峰土城子机场,CHIFENG
澳门,MFM,澳门国际机场,MACAU
临沂,LYI,临沂沐埠岭机场,LINYI
庆阳,IQN,庆阳机场,QINGYANG
海拉尔,HLD,内蒙古海拉尔东山机场,HAILAR
宝鸡,,,BAOJI
黄岩,HYN,台州黄岩路桥机场,HUANGYAN
榆林,UYN,榆林西沙机场,YULIN
东京,NRT,东京成田机场,NARITAAPT
阜阳,FUG,阜阳机场,FUYANG
台北,TSA,台北松山机场,TAIPEI
秦皇岛,SHP,秦皇岛机场,QINHUANGDAO
温哥华,YVR,温哥华国际机场,VANCOUVER
西双版纳,JHG,景洪西双版纳机场,JINGHONG
九寨沟,JZH,九寨沟黄龙(九黄）机场,JIUZHAIGOU
达县,DAX,达县机场,DAXIAN
怀化,,,HUAIHUA
舟山,HSN,舟山普陀山朱家尖机场,ZHOUSHAN
吉安,KNC,吉安机场,JIAN
酒泉,CHW,酒泉机场,JIUQUAN
巢湖,,,CHAOHU
南阳,NNY,南阳姜营机场,NANYANG
曼谷,BKK,曼谷国际机场,BANGKOK
衢州,JUZ,衢州机场,QUZHOU
吉林,JIL,吉林二台子机场,JILIN
巴黎,ORY,奥利机场,PARIS
巴黎,CDG,戴高乐国际机场(cdg),PARIS
库车,KCA,库车机场,KUQA
嘉峪关,JGN,嘉峪关机场,JIAYUGUAN
景德镇,JDZ,景德镇罗家机场,JINGDEZHEN
衡阳,HNY,衡阳机场,HENGYANG
铜仁,TEN,铜仁机场,TONGREN
汉中,HZG,汉中西关机场,HANZHONG
通辽,TGO,通辽机场,TONGLIAO
梧州,WUZ,梧州长洲岛机场,WUZHOU
格尔木,GOQ,格尔木机场,GOLMUD
九江,JIU,九江庐山机场,JIUJIANG
纽约,EWR,纽瓦克国际机场,NEWYORK
纽约,JFK,肯尼迪国际机场,J.F.KENNEDY.APT
克拉玛依,KRY,克拉玛依克拉玛依,KARAMAY
阿克苏,AKU,阿克苏机场,AKSUAKU
安阳,AYG,安阳机场,ANYANG
喀什,KHG,喀什机场,KASHI
遵义,ZYI,遵义机场,ZUNYI
安康,AKA,安康机场,ANKANG
大同,DAT,大同机场,DATONG
延安,ENY,延安二十里铺机场,YANAN
广安,,,GUANGAN
伦敦,STN,斯坦斯特德机场,LONDON STANSTED AIRP
伦敦,LHR,希思罗机场,LONDON HEATHROW AIRP
赣州,KOW,赣州黄金机场,GANZHOU
五台山,WUT,五台山机场,WUTAISHAN
法兰克福,FRA,梅因机场,FRANKFURT
吉隆坡,KUL,梳邦机场,KUALALUMPUR
思茅,SYM,思茅机场,SIMAO
昭通,ZAT,昭通机场,ZHAOTONG
黑河,HEK,黑河机场,HEIHE
悉尼,SYD,金斯福.史密斯机场,SYDNEY
井冈山,JGS,井冈山机场,JINGGANGSHAN
广元,GYS,,GUANGYUAN
和田,HTN,和田机场,HETIAN
多伦多,YTO,莱斯特佩尔逊国际机场,TORONTO
惠阳,,,HUIYANG
芒市,LUM,芒市机场,MANGSHI
哈密,HMI,哈密机场,HAMI
马尼拉,MNL,尼诺依阿基诺国际机场,MANILA
旧金山,SFO,旧金山国际机场,SANFRANCICO
洛杉矶,LAX,洛杉矶国际机场,LOSANGELES
汉城,SEL,金浦国际机场,SEOUL
长治,CIH,长治机场,CHANGZHI
吉首,,,JISHOU
雅加达,CGK,苏加诺-哈达机场(CGK),JAKARTA
乐清,,,LEQING
西昌,XIC,西昌青山机场,XICHANG
新余,,,XINYU
林芝,LZY,林芝机场,LINZHI
营口,,,YINGKOU
濮阳,,,PUYANG
伊宁,YIN,伊宁机场,YINING
东营,DOY,东营机场,DONGYING
诸暨,,,ZHUJI
墨尔本,MEL,图拉曼里机场,MELBOURNE
布达佩斯,BUD,,BUDAPEST
胡志明,SGN,新山机场,HOCHIMINHCITY
安溪,,,ANXI
莫斯科,VKO,伏努科沃机场,MOSCOW
莫斯科,SVO,谢列梅捷沃机场,MOSCOW
梅县,MXZ,梅县机场,MEIXIAN
沙市,SHS,荆州沙市机场,SHASHI
河内,HAN,,HANOI
乌兰浩特,HLH,乌兰浩特机场,WULANHAOTE
邹平,,,ZOUPING
阿姆斯特丹,AMS,斯希普霍尔机场,AMSTERDAM
芝加哥,CHI,奥黑尔国际机场(MDW),CHICAGO
大阪,KIX,关西机场(Kansai),KANSAIAPT
朝阳,CHG,朝阳机场,CHAOYANG
广汉,GHN,广汉机场,GUANGHAN
芝加哥,ORD,奥黑尔国际机场(MDW),CHICAGO
青田,,,QINGTIAN
九华山,,,JIUHUASHAN
约翰内斯堡,JNB,,JOHANNESBURG
迪拜,DXB,迪拜机场,DUBAI
奥克兰,AKL,奥克兰国际机场,AUCKLAND
波特兰,PDX,,PORTLANDOR
渥太华,YOW,阿波兰兹国际机场,OTTAWA
锡林浩特,XIL,锡林浩特机场,XILINHAOTE
慕尼黑,MUC,雷姆机场,MUNICH
休斯顿,HOU,霍比机场,HOUSTON
富蕴,FYN,富蕴机场,FUYUN
且末,IQM,且末机场,QIEME
釜山,PUS,,BUSAN
底特律,DTT,底特律城市机场(DET),DETROIT
底特律,DTW,底特律城市机场(DET),DETROIT
西雅图,SEA,塔科马国际机场,SEATTLE
米兰,MXP,米兰马尔蓬萨机场,MILAN MALPENSA INTER
米兰,MXP,利纳特机场(lin),LINATE AIRPORT
布里斯班,BNE,,BRISBANE
福冈,FUK,福冈机场,FUKUOKA
名古屋,NGO,名古屋机场,NAGOYA
维也纳,VIE,斯事查特机场,VIENNA
布鲁塞尔,BRU,国家机场,BRUSSELS
匹兹堡,PIT,,PITTSBURGH
斯德哥尔摩,ARN,阿兰达机场(ARN),STOCKHOLM
罗马,ROM,西阿姆皮诺机场(CIA),ROME
普吉,HKT,,THUKET
罗马,FCO,菲乌米奇诺机场,ROME
哥本哈根,CPH,卡斯特鲁普机场,COPENHAGEN
金边,PNH,,PHNOMPENH
安克雷奇,ANC,安克雷奇国际机场,ANCHORAGE
华盛顿,WAS,,WASHINGTON
迈阿密,MIA,迈阿密国际机场,MIAMI
仰光,RGN,明加拉顿机场,YANGON
苏黎士,ZRH,克洛滕机场,ZURICH
惠灵顿,WLG,惠灵顿国际机场,WELLINGTON
波士顿,BOS,洛根国际机场,BOSTON
亚特兰大,ATL,哈特菲尔德国际机场,ATLANTA
曼彻斯特,MAN,,MANCHESTER
潍坊,WEF,潍坊机场,WEIFANG
波恩,BNJ,,BONN
汉堡,HAM,富尔斯布泰机场,HANBURG
科隆,CGN,科隆/波恩机场,COLOGNE
阿拉木图,ALA,,ALMA-ATA
科威特,KWI,,KUWAIT
札幌,SPK,,SAPPORO
伊斯坦布尔,IST,,ISTANBUL
基辅,KBP,鲍利斯波尔机场(kbp),KIEV
马德里,MAD,巴拉哈斯机场,AEROPUERTO DE BARAJA
雅典,ATH,海利尼肯机场,ATHENS
德里,DEL,德里机场,DELHI
明尼阿波利斯,MSP,明尼阿波利斯国际机场,MINNEAPOLIS
无锡,WUX,无锡硕放机场,WUXI
阿布扎比,AUH,,ABUDHABI
都柏林,DUB,都柏林机场,DUBLIN
伊斯兰堡,ISB,,ISLAMABAD
圣保罗,SAO,瓜茹尔赫斯国际机场,SAOPAULO
安特卫普,ANR,,ANTWERP
不来梅,BRE,,BREMEN
里昂,LYS,,LYON
马赛,MRS,,MARSEILLE
赫尔辛基,HEL,赫尔辛基机场,HELSINKI
波哥大,BOG,,BOGOTA
蒙特利尔,YMQ,米拉贝尔机场,MONTREAL
内罗毕,NBO,乔莫肯亚塔国际机场,NAIROBI
万象,VTE,,VIENTIANE
菲尼克斯,PHX,天港国际机场,PHOENIX
费城,PHL,费城国际机场,PHILADELPHIA
拉斯维加斯,LAS,,LASVGAS
