dm	mc	lb	bz
DM01	注册	person_rel_phone_type	人关联电话类型
DM02	关联	person_rel_phone_type	人关联电话类型
DM03	注销	person_rel_phone_type	人关联电话类型
DM04	持有（机主）	person_rel_phone_type	人关联电话类型
111	居民身份证	sfz_type	身份证件类型
112	临时居民身份证	sfz_type	身份证件类型
F001	香港身份证	sfz_type	身份证件类型
F002	澳门身份证	sfz_type	身份证件类型
F003	台湾身份证	sfz_type	身份证件类型
DC01	报案	case_link_person_type	身份关联案件
DC02	受害	case_link_person_type	身份关联案件
DC03	嫌疑	case_link_person_type	身份关联案件
DC04	证人	case_link_person_type	身份关联案件
DZ001	出生地址	person_address_type	地址类别
DZ002	身份证地址	person_address_type	地址类别
DZ003	户籍地址	person_address_type	地址类别
DZ004	现住/居住地址	person_address_type	地址类别
DZ005	暂住地址	person_address_type	地址类别
DZ006	家庭地址	person_address_type	地址类别
DZ007	工作地址	person_address_type	地址类别
DZ008	用水地址	person_address_type	地址类别
DZ009	用电地址	person_address_type	地址类别
DSCH001	雇佣	person_link_school_type	人关联学校类型
DSCH002	就读	person_link_school_type	人关联学校类型
RR01	伴随	phone_link_phone_type	电话间关系类型
RR03	同卡	phone_link_phone_type	电话间关系类型
RR01	伴随	imsi_link_imsi_type	imsi间关系类型
RR02	同机	imsi_link_imsi_type	imsi间关系类型
CZ01	案发地址	case_address_type	案件关联地址类型
RR01	伴随	phone_link_imsi_type	电话与imsi关系类型
RR03	同卡	phone_link_imsi_type	电话与imsi关系类型
DCOM001	法人	person_link_com_type	人与公司间关系类型
DCOM002	雇佣	person_link_com_type	人与公司间关系类型
DCOM003	股东	person_link_com_type	人与公司间关系类型
DHU01	所有	person_link_house_type	人关联房屋类型
DHU02	租住	person_link_house_type	人关联房屋类型
DHU03	出售	person_link_house_type	人关联房屋类型
DHU04	买入	person_link_house_type	人关联房屋类型
DHU05	居住	person_link_house_type	人关联房屋类型
DHU06	寄住	person_link_house_type	人关联房屋类型
111	居民身份证	other_zjhm_type	其他证件号码类型
112	临时居民身份证	other_zjhm_type	其他证件号码类型
113	户口簿	other_zjhm_type	其他证件号码类型
114	中国人民解放军军官证	other_zjhm_type	其他证件号码类型
115	中国人民武装警察部队警官证	other_zjhm_type	其他证件号码类型
116	暂住证	other_zjhm_type	其他证件号码类型
117	出生医学证明	other_zjhm_type	其他证件号码类型
118	中国人民解放军士兵证	other_zjhm_type	其他证件号码类型
119	中国人民武装警察部队士兵证	other_zjhm_type	其他证件号码类型
121	法官证	other_zjhm_type	其他证件号码类型
123	人民警察证	other_zjhm_type	其他证件号码类型
125	检察官证	other_zjhm_type	其他证件号码类型
127	律师证	other_zjhm_type	其他证件号码类型
129	记者证	other_zjhm_type	其他证件号码类型
131	工作证	other_zjhm_type	其他证件号码类型
133	学生证	other_zjhm_type	其他证件号码类型
151	出入证	other_zjhm_type	其他证件号码类型
153	临时出入证	other_zjhm_type	其他证件号码类型
154	居住证	other_zjhm_type	其他证件号码类型
157	医疗证	other_zjhm_type	其他证件号码类型
159	劳保证	other_zjhm_type	其他证件号码类型
161	献血证	other_zjhm_type	其他证件号码类型
163	保险单	other_zjhm_type	其他证件号码类型
191	会员证	other_zjhm_type	其他证件号码类型
211	离休证	other_zjhm_type	其他证件号码类型
212	中国人民解放军军官离休证	other_zjhm_type	其他证件号码类型
213	退休证	other_zjhm_type	其他证件号码类型
214	中国人民解放军军官退休证	other_zjhm_type	其他证件号码类型
215	老年证	other_zjhm_type	其他证件号码类型
216	中国人民武装警察部队警官离休证	other_zjhm_type	其他证件号码类型
217	残疾证	other_zjhm_type	其他证件号码类型
218	中国人民武装警察部队警官退休证	other_zjhm_type	其他证件号码类型
219	结婚证	other_zjhm_type	其他证件号码类型
221	离婚证	other_zjhm_type	其他证件号码类型
223	独生子女证	other_zjhm_type	其他证件号码类型
225	毕业证	other_zjhm_type	其他证件号码类型
227	肄业证	other_zjhm_type	其他证件号码类型
229	结业证	other_zjhm_type	其他证件号码类型
231	学位证	other_zjhm_type	其他证件号码类型
233	军人通行证	other_zjhm_type	其他证件号码类型
240	社会医疗保障卡	other_zjhm_type	其他证件号码类型
241	公共交通卡	other_zjhm_type	其他证件号码类型
291	证明信	other_zjhm_type	其他证件号码类型
311	持枪证	other_zjhm_type	其他证件号码类型
313	枪证	other_zjhm_type	其他证件号码类型
315	枪支（弹药）携运许可证	other_zjhm_type	其他证件号码类型
317	砍伐证	other_zjhm_type	其他证件号码类型
319	准运证	other_zjhm_type	其他证件号码类型
