edge_name,start_vertex,start_id,end_vertex,end_id
edge_person_reserve_airline,vertex_person_jg,zjhm,vertex_airline_jg,airlineid
edge_person_spouse_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_checkin_train,vertex_person_jg,zjhm,vertex_traincheckin_jg,tgkkdm
edge_certificate_open_phone,vertex_certificate_jg,certificateid,vertex_phonenumber_jg,phone
edge_person_has_ssaccount,vertex_person_jg,zjhm,vertex_ssaccount_jg,sbkh
edge_find_common_greatgrand,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_groupcall,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_find_spouse,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_work_school,vertex_person_jg,zjhm,vertex_school_jg,school_id
edge_find_father,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_find_mother,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_find_grandparents,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_find_greatgrands,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_attend_college,vertex_person_jg,zjhm,vertex_college_jg,college_id
edge_person_fatherIs_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_case_SuspectIs_person,vertex_case_jg,asjbh,vertex_person_jg,zjhm
edge_certificate_link_phone,vertex_certificate_jg,certificateid,vertex_phonenumber_jg,phone
edge_vehicle_sameguarantee,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_stay_hotel,vertex_person_jg,zjhm,vertex_hotel_jg,lgdm
edge_internetbar_use_ip,vertex_internetbar_jg,siteid,vertex_ip_jg,ip
edge_person_reserve_trainline,vertex_person_jg,zjhm,vertex_trainline_jg,trianid
edge_wechat_msg_wechat,vertex_wechat_jg,account,vertex_wechat_jg,account
edge_person_arrived_airline,vertex_person_jg,zjhm,vertex_airline_jg,airlineid
edge_phone_send_package,vertex_phonenumber_jg,phone,vertex_package_jg,packageid
edge_person_guardianIs_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_guaranteeis_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_find_common_grand,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_vehicle_has_autolpn,vertex_vehicle_jg,vehicle,vertex_autolpn_jg,autolpn
edge_email_use_phone,vertex_email_jg,email,vertex_phonenumber_jg,phone
edge_person_hire_house,vertex_person_jg,zjhm,vertex_house_jg,house_id
edge_person_maintain_vehicle,vertex_person_jg,zjhm,vertex_vehicle_jg,vehicle
edge_person_link_hukou,vertex_person_jg,zjhm,vertex_hukou_jg,hukouid
edge_person_surfing_internetbar,vertex_person_jg,zjhm,vertex_internetbar_jg,siteid
edge_phone_list_phone,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_person_attend_school,vertex_person_jg,zjhm,vertex_school_jg,school_id
edge_person_own_autolpn,vertex_person_jg,zjhm,vertex_autolpn_jg,autolpn
edge_person_stay_jail_jls,vertex_person_jg,zjhm,vertex_jail_jg,unitid
edge_person_smz_phone,vertex_person_jg,zjhm,vertex_phonenumber_jg,phone
edge_case_reportby_person,vertex_case_jg,asjbh,vertex_person_jg,zjhm
edge_person_motherIs_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_case_suspicious_person,vertex_case_jg,asjbh,vertex_person_jg,zjhm
edge_person_stay_jail_qjs,vertex_person_jg,zjhm,vertex_jail_jg,unitid
edge_person_open_phone,vertex_person_jg,zjhm,vertex_phonenumber_jg,phone
edge_qq_msg_qq,vertex_qq_jg,account,vertex_qq_jg,account
edge_vehicle_sameintroducer,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_qq_use_phone,vertex_qq_jg,account,vertex_phonenumber_jg,phone
edge_person_work_com,vertex_person_jg,zjhm,vertex_company_jg,company
edge_person_visit_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_reserve_coachline,vertex_person_jg,zjhm,vertex_coachline_jg,coachid
edge_person_principal_com,vertex_person_jg,zjhm,vertex_company_jg,company
edge_person_introduceris_person,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_same_hotel_house,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_same_hotel,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_groupmsg,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_wechat_use_phone,vertex_wechat_jg,account,vertex_phonenumber_jg,phone
edge_company_workmate,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_find_common_mother,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_same_kss,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_same_qjs,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_buy_vehicle,vertex_person_jg,zjhm,vertex_vehicle_jg,vehicle
edge_person_invest_com,vertex_person_jg,zjhm,vertex_company_jg,company
edge_house_hiremate,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_link_phone,vertex_person_jg,zjhm,vertex_phonenumber_jg,phone
edge_phonenumber_use_imei,vertex_phonenumber_jg,phone,vertex_imei_jg,imei
edge_school_sub_college,vertex_school_jg,school_id,vertex_college_jg,college_id
edge_person_hire_autolpn,vertex_person_jg,zjhm,vertex_autolpn_jg,autolpn
edge_phonenumber_use_imsi,vertex_phonenumber_jg,phone,vertex_imsi_jg,imsi
edge_phone_sendpackage_phone,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_person_checkin_airline,vertex_person_jg,zjhm,vertex_airline_jg,airlineid
edge_person_stay_jail_kss,vertex_person_jg,zjhm,vertex_jail_jg,unitid
edge_certificate_link_person,vertex_certificate_jg,certificateid,vertex_person_jg,zjhm
edge_person_link_drivinglicense,vertex_person_jg,zjhm,vertex_drivinglicense_jg,drivinglicense
